date,spend,conversions
2026-02-25,3189.51,66
2026-02-26,3021.61,57
2026-02-27,2085.92,35
2026-02-28,1827.55,30
2026-03-01,2317.29,31
2026-03-02,2462.17,46
2026-03-03,2809.08,53
2026-03-04,2836.43,53
2026-03-05,3029.66,52
2026-03-06,2354.33,29
2026-03-07,1852.71,31
2026-03-08,1939.84,42
2026-03-09,2842.22,35
2026-03-10,3232.98,48
2026-03-11,3490.5,46
2026-03-12,2763.06,50
2026-03-13,2419.03,36
2026-03-14,2017.86,26
2026-03-15,2056.81,31
2026-03-16,2564.31,46
2026-03-17,2645.89,55
2026-03-18,3365.38,61
2026-03-19,2970.44,52
2026-03-20,2151.94,38
2026-03-21,2001.99,34
2026-03-22,1895.79,32
2026-03-23,2599.41,41
2026-03-24,3048.77,47
2026-03-25,3389.06,50
2026-03-26,3230.0,54
2026-03-27,2524.96,33
2026-03-28,1987.63,33
2026-03-29,2121.2,29
2026-03-30,2586.7,44
2026-03-31,3071.45,46
2026-04-01,3036.08,56
2026-04-02,2685.72,51
2026-04-03,2363.1,36
2026-04-04,1978.28,34
2026-04-05,2380.42,33
2026-04-06,2841.04,41
2026-04-07,3231.59,54
2026-04-08,3555.52,51
2026-04-09,2724.58,40
2026-04-10,2673.87,40
2026-04-11,1994.74,35
2026-04-12,2267.71,41
2026-04-13,2775.0,46
2026-04-14,3144.75,54
2026-04-15,3621.5,61
2026-04-16,3096.96,43
2026-04-17,2397.19,46
2026-04-18,2048.43,36
2026-04-19,2307.77,36
2026-04-20,2671.0,45
2026-04-21,3353.87,56
2026-04-22,2975.35,64
2026-04-23,3060.25,50
2026-04-24,2375.66,35
2026-04-25,2100.83,31
2026-04-26,2302.68,39
2026-04-27,2701.2,46
2026-04-28,3425.11,53
2026-04-29,3348.75,56
2026-04-30,3299.17,51
2026-05-01,2340.63,43
2026-05-02,2388.79,34
2026-05-03,2373.63,38
2026-05-04,2874.0,39
2026-05-05,3475.4,57
2026-05-06,3418.53,61
2026-05-07,3071.9,58
2026-05-08,2450.12,37
2026-05-09,2255.98,37
2026-05-10,2136.47,43
2026-05-11,2867.65,42
2026-05-12,3323.78,59
2026-05-13,3511.63,57
2026-05-14,2877.4,51
2026-05-15,2808.29,41
2026-05-16,2268.42,41
2026-05-17,2298.0,36
2026-05-18,3049.9,50
2026-05-19,3789.16,59
2026-05-20,3776.74,59
2026-05-21,3202.78,46
2026-05-22,2852.79,47
2026-05-23,2302.33,41
2026-05-24,2511.01,40
2026-05-25,3021.21,52
2026-05-26,3427.42,62
2026-05-27,3844.78,56
2026-05-28,3130.95,48
2026-05-29,2521.1,50
2026-05-30,2337.55,41
2026-05-31,2306.37,45
