user_id,revenue,orders
s000124,263.24,2
s000125,88.12,1
s000126,205.41,2
s000127,237.82,2
s000128,226.3,3
s000129,360.9,4
s000130,176.95,2
s000131,160.19,3
s000132,74.03,1
s000133,246.76,3
s000134,93.36,2
s000135,298.59,3
s000136,359.96,3
s000137,68.15,1
s000138,326.97,3
s000139,49.44,1
s000140,246.51,3
s000141,210.76,2
s000142,64.46,1
s000143,626.54,6
s000144,218.83,3
s000145,39.72,1
s000146,201.75,3
s000147,416.95,4
s000148,173.39,3
s000149,476.58,5
s000150,163.95,2
s000151,217.14,3
s000152,47.57,1
s000153,157.06,2
s000154,52.82,1
s000155,106.8,1
s000156,186.03,1
s000157,87.05,1
s000158,37.41,1
s000159,0.0,0
s000160,468.42,5
s000161,0.0,0
s000162,228.68,2
s000163,342.5,3
s000164,0.0,0
s000165,316.18,4
s000166,102.73,1
s000167,298.85,3
s000168,124.44,2
s000169,58.3,1
s000170,424.37,5
s000171,146.36,2
s000172,348.13,3
s000173,138.08,1
s000174,163.99,2
s000175,43.04,1
s000176,0.0,0
s000177,0.0,0
s000178,154.49,2
s000179,113.64,1
s000180,0.0,0
s000181,212.83,3
s000182,74.79,1
s000183,0.0,0
s000184,491.82,3
s000185,92.09,1
s000186,305.78,4
s000187,0.0,0
s000188,68.38,1
s000189,296.01,3
s000190,129.3,2
s000191,223.29,4
s000192,732.86,6
s000193,235.32,2
s000194,124.75,1
s000195,143.07,1
s000196,140.54,2
s000197,254.78,3
s000198,323.89,3
s000199,84.93,1
s000200,58.14,1
s000201,58.72,1
s000202,359.77,4
s000203,172.03,2
s000204,282.75,3
s000205,80.17,1
s000206,68.85,1
s000207,95.96,1
s000208,97.56,1
s000209,115.34,1
s000210,0.0,0
s000211,301.51,4
s000212,150.8,2
s000213,439.39,4
s000214,144.6,2
s000215,48.31,1
s000216,198.53,2
s000217,300.84,4
s000218,299.87,4
s000219,203.28,3
s000220,30.98,1
s000221,245.27,2
s000222,132.3,2
s000223,367.97,3
s000224,0.0,0
s000225,101.54,1
s000226,39.77,1
s000227,144.97,1
s000228,86.67,2
s000229,178.55,3
s000230,0.0,0
s000231,103.2,2
s000232,50.19,1
s000233,92.59,1
s000234,146.01,2
s000235,60.24,1
s000236,102.83,2
s000237,264.94,4
s000238,0.0,0
s000239,40.86,1
s000240,185.29,2
s000241,111.57,2
s000242,186.05,2
s000243,680.0,6
s000244,405.58,3
s000245,155.46,2
s000246,215.81,2
s000247,234.78,4
s000248,325.9,4
s000249,151.68,2
s000250,68.59,1
s000251,229.02,3
s000252,61.98,1
s000253,252.58,2
s000254,30.34,1
s000255,139.25,1
s000256,132.76,2
s000257,359.58,4
s000258,0.0,0
s000259,198.16,4
s000260,196.05,3
s000261,91.86,2
s000262,179.21,3
s000263,132.26,3
s000264,179.84,2
s000265,175.91,2
s000266,204.85,2
s000267,121.5,2
s000268,157.57,2
s000269,278.88,4
s000270,293.14,3
s000271,119.42,2
s000272,111.1,2
s000273,63.36,2
s000274,168.25,2
s000275,92.75,1
s000276,0.0,0
s000277,0.0,0
s000278,0.0,0
s000279,0.0,0
s000280,65.18,1
s000281,0.0,0
s000282,188.41,3
s000283,227.45,2
s000284,168.34,2
s000285,158.98,2
s000286,139.81,1
s000287,0.0,0
s000288,75.74,1
s000289,60.39,1
s000290,0.0,0
s000291,0.0,0
s000292,220.88,3
s000293,253.36,3
s000294,85.53,1
s000295,87.73,1
s000296,203.08,3
s000297,82.29,1
s000298,65.69,1
s000299,92.22,1
s000300,318.39,4
s000301,30.12,1
s000302,88.55,1
s000303,103.53,2
s000304,299.74,4
s000305,193.32,2
s000306,0.0,0
s000307,316.95,2
s000308,0.0,0
s000309,387.0,4
s000310,466.12,5
s000311,62.25,1
s000312,88.19,1
s000313,168.38,2
s000314,282.23,3
s000315,122.82,2
s000316,69.57,1
s000317,263.87,3
s000318,124.05,3
s000319,54.78,1
s000320,0.0,0
s000321,243.66,2
s000322,321.26,3
s000323,289.07,4
s000324,0.0,0
s000325,61.13,1
s000326,194.84,2
s000327,504.7,5
s000328,0.0,0
s000329,79.55,1
s000330,305.59,3
s000331,242.98,3
s000332,237.78,2
s000333,84.65,1
s000334,66.39,1
s000335,51.15,1
s000336,103.06,1
s000337,37.71,1
s000338,370.57,4
s000339,300.19,3
s000340,247.87,4
s000341,230.44,3
s000342,114.88,2
s000343,384.41,4
s000344,0.0,0
s000345,47.69,1
s000346,60.73,1
s000347,136.32,1
s000348,71.07,1
s000349,84.57,1
s000350,291.02,4
s000351,210.98,2
s000352,72.61,1
s000353,241.58,3
s000354,89.47,1
s000355,0.0,0
s000356,69.61,1
s000357,110.59,2
s000358,0.0,0
s000359,191.76,2
s000360,138.25,2
s000361,179.8,2
s000362,74.04,1
s000363,171.46,1
s000364,78.44,1
s000365,52.77,1
s000366,0.0,0
s000367,359.66,4
s000368,145.4,2
s000369,127.21,2
s000370,556.02,4
s000371,0.0,0
s000372,147.76,2
s000373,99.2,2
s000374,220.41,3
s000375,0.0,0
s000376,53.09,1
s000377,0.0,0
s000378,629.62,7
s000379,215.08,3
s000380,0.0,0
s000381,120.2,2
s000382,123.88,2
s000383,233.67,3
s000384,57.88,1
s000385,82.39,1
s000386,225.33,2
s000387,0.0,0
s000388,162.32,2
s000389,213.44,2
s000390,190.96,3
s000391,161.79,2
s000392,160.33,2
s000393,249.9,4
s000394,212.38,2
s000395,193.26,2
s000396,163.34,1
s000397,0.0,0
s000398,126.76,1
s000399,0.0,0
s000400,233.98,4
s000401,0.0,0
s000402,0.0,0
s000403,0.0,0
s000404,116.16,3
s000405,23.77,1
s000406,0.0,0
s000407,347.8,3
s000408,107.49,1
s000409,244.69,3
s000410,291.72,3
s000411,146.4,2
s000412,172.73,2
s000413,335.66,3
s000414,115.43,2
s000415,55.18,1
s000416,73.23,1
s000417,0.0,0
s000418,0.0,0
s000419,148.08,2
s000420,347.39,4
s000421,0.0,0
s000422,371.14,4
s000423,267.77,3
s000424,0.0,0
s000425,41.26,1
s000426,0.0,0
s000427,226.2,3
s000428,79.84,1
s000429,279.79,4
s000430,426.76,3
s000431,38.55,1
s000432,0.0,0
s000433,141.24,2
s000434,184.22,2
s000435,346.87,4
s000436,264.33,4
s000437,114.77,2
s000438,90.8,1
s000439,86.6,2
s000440,118.24,2
s000441,177.08,1
s000442,0.0,0
s000443,141.77,2
s000444,266.91,3
s000445,0.0,0
s000446,0.0,0
s000447,77.14,1
s000448,146.08,2
s000449,57.4,1
s000450,142.97,1
s000451,311.28,3
s000452,186.53,2
s000453,72.73,1
s000454,398.67,3
s000455,384.01,5
s000456,189.3,3
s000457,352.86,4
s000458,145.44,1
s000459,98.23,1
s000460,108.84,2
s000461,212.72,3
s000462,153.69,2
s000463,229.92,3
s000464,321.84,3
s000465,147.18,2
s000466,69.97,1
s000467,351.1,4
s000468,240.57,3
s000469,75.93,1
s000470,244.28,4
s000471,404.42,5
s000472,71.0,1
s000473,0.0,0
s000474,372.54,3
s000475,135.26,3
s000476,33.92,1
s000477,212.81,2
s000478,273.66,3
s000479,299.42,3
s000480,126.9,2
s000481,207.29,2
s000482,192.23,2
s000483,150.92,2
s000484,0.0,0
s000485,89.22,1
s000486,0.0,0
s000487,338.64,3
s000488,126.33,2
s000489,113.53,2
s000490,0.0,0
s000491,101.05,1
s000492,136.02,2
s000493,190.06,2
s000494,51.17,1
s000495,112.53,1
s000496,0.0,0
s000497,239.13,3
s000498,223.52,3
s000499,0.0,0
s000500,173.26,2
s000501,0.0,0
s000502,534.6,4
s000503,89.73,1
s000504,336.47,3
s000505,117.97,2
s000506,165.77,2
s000507,68.08,1
s000508,296.96,4
s000509,87.1,1
s000510,0.0,0
s000511,587.93,6
s000512,0.0,0
s000513,320.37,3
s000514,71.98,1
s000515,199.94,2
s000516,149.75,2
s000517,102.61,2
s000518,202.35,2
s000519,204.98,3
s000520,88.42,1
s000521,41.67,1
s000522,174.74,2
s000523,169.92,2
s000524,0.0,0
s000525,96.87,1
s000526,144.93,1
s000527,585.56,6
s000528,516.0,4
s000529,336.09,3
s000530,311.72,4
s000531,315.14,3
s000532,101.2,1
s000533,69.73,1
s000534,0.0,0
s000535,84.38,1
s000536,230.17,3
s000537,698.91,7
s000538,32.11,1
s000539,104.13,2
s000540,355.06,3
s000541,163.41,2
s000542,46.23,1
s000543,99.11,2
s000544,184.0,2
s000545,96.94,2
s000546,79.43,1
s000547,124.84,2
s000548,204.97,2
s000549,0.0,0
s000550,283.67,4
s000551,0.0,0
s000552,98.92,2
s000553,114.71,1
s000554,146.11,2
s000555,331.07,4
s000556,119.43,2
s000557,221.85,3
s000558,780.72,8
s000559,0.0,0
s000560,36.09,1
s000561,146.59,1
s000562,178.3,3
s000563,258.71,3
s000564,123.42,2
s000565,54.93,1
s000566,76.11,1
s000567,93.32,1
s000568,0.0,0
s000569,53.13,1
s000570,0.0,0
s000571,367.4,4
s000572,51.78,1
s000573,130.34,2
s000574,0.0,0
s000575,444.99,5
s000576,154.78,2
s000577,98.75,1
s000578,217.36,3
s000579,113.51,2
s000580,0.0,0
s000581,0.0,0
s000582,379.72,4
s000583,203.04,2
s000584,112.63,1
s000585,165.71,2
s000586,0.0,0
s000587,264.63,2
s000588,209.93,2
s000589,66.75,1
s000590,136.93,2
s000591,0.0,0
s000592,125.91,2
s000593,175.14,2
s000594,161.41,1
s000595,202.18,2
s000596,257.45,3
s000597,397.9,3
s000598,247.25,3
s000599,172.86,2
s000600,166.15,3
s000601,280.81,3
s000602,69.08,1
s000603,240.13,3
s000604,74.0,1
s000605,51.24,1
s000606,204.44,2
s000607,182.97,1
s000608,167.92,2
s000609,217.01,3
s000610,138.18,2
s000611,208.33,3
s000612,66.45,1
s000613,80.29,1
s000614,254.25,3
s000615,0.0,0
s000616,88.41,2
s000617,367.95,4
s000618,0.0,0
s000619,246.06,2
s000620,213.65,2
s000621,248.77,2
s000622,386.43,4
s000623,213.15,3
s000624,127.44,1
s000625,81.53,1
s000626,61.94,1
s000627,387.83,4
s000628,56.59,1
s000629,72.31,1
s000630,57.32,1
s000631,0.0,0
s000632,153.84,3
s000633,144.69,2
s000634,0.0,0
s000635,246.56,2
s000636,359.52,4
s000637,0.0,0
s000638,153.6,2
s000639,66.19,1
s000640,256.67,4
s000641,284.32,3
s000642,146.43,2
s000643,157.62,2
s000644,130.6,2
s000645,71.36,1
s000646,122.91,1
s000647,0.0,0
s000648,213.27,1
s000649,126.51,2
s000650,62.39,1
s000651,114.03,2
s000652,110.49,2
s000653,298.11,3
s000654,79.08,1
s000655,52.07,1
s000656,93.97,1
s000657,0.0,0
s000658,0.0,0
s000659,76.36,1
s000660,0.0,0
s000661,152.08,2
s000662,161.49,2
s000663,147.97,2
s000664,887.37,8
s000665,58.27,1
s000666,146.17,2
s000667,121.29,2
s000668,130.5,2
s000669,0.0,0
s000670,0.0,0
s000671,68.6,1
s000672,0.0,0
s000673,708.03,7
s000674,134.47,2
s000675,107.98,2
s000676,166.08,2
s000677,191.59,3
s000678,127.34,1
s000679,0.0,0
s000680,0.0,0
s000681,0.0,0
s000682,215.08,2
s000683,82.68,1
s000684,306.72,4
s000685,0.0,0
s000686,104.55,1
s000687,462.61,5
s000688,151.74,2
s000689,340.94,3
s000690,241.1,2
s000691,132.54,2
s000692,0.0,0
s000693,229.4,2
s000694,0.0,0
s000695,187.64,3
s000696,57.81,1
s000697,78.43,1
s000698,57.12,1
s000699,0.0,0
s000700,0.0,0
s000701,0.0,0
s000702,130.25,2
s000703,335.48,2
s000704,402.68,3
s000705,215.66,3
s000706,449.67,5
s000707,202.84,3
s000708,0.0,0
s000709,403.19,4
s000710,193.83,2
s000711,0.0,0
s000712,198.4,3
s000713,275.19,3
s000714,142.42,2
s000715,252.28,3
s000716,159.66,2
s000717,171.79,2
s000718,302.63,4
s000719,287.13,4
s000720,38.79,1
s000721,34.26,1
s000722,403.2,4
s000723,67.02,1
s000724,162.79,2
s000725,127.12,1
s000726,179.15,3
s000727,91.46,1
s000728,146.8,2
s000729,152.25,1
s000730,130.44,2
s000731,293.11,2
s000732,227.63,2
s000733,0.0,0
s000734,74.9,1
s000735,81.83,1
s000736,0.0,0
s000737,470.31,3
s000738,136.03,2
s000739,0.0,0
s000740,139.62,2
s000741,132.01,2
s000742,60.24,1
s000743,35.96,1
s000744,91.4,1
s000745,261.68,3
s000746,227.04,3
s000747,122.5,1
s000748,205.79,2
s000749,325.11,3
s000750,304.93,3
s000751,272.0,3
s000752,0.0,0
s000753,255.24,3
s000754,0.0,0
s000755,150.96,2
s000756,72.5,1
s000757,45.19,1
s000758,156.7,2
s000759,113.57,1
s000760,174.6,2
s000761,122.89,2
s000762,146.48,2
s000763,57.82,1
s000764,128.91,2
s000765,57.72,1
s000766,0.0,0
s000767,0.0,0
s000768,83.42,1
s000769,39.89,1
s000770,194.25,2
s000771,137.02,2
s000772,0.0,0
s000773,228.61,2
s000774,0.0,0
s000775,158.63,2
s000776,660.31,6
s000777,164.32,2
s000778,151.07,1
s000779,186.5,2
s000780,183.16,2
s000781,0.0,0
s000782,61.74,1
s000783,153.38,2
s000784,177.05,2
s000785,56.52,1
s000786,125.36,1
s000787,0.0,0
s000788,128.59,2
s000789,227.78,2
s000790,322.51,4
s000791,43.02,1
s000792,226.09,3
s000793,0.0,0
s000794,178.21,1
s000795,161.71,3
s000796,0.0,0
s000797,217.35,1
s000798,57.05,1
s000799,117.3,2
s000800,203.54,2
s000801,305.08,4
s000802,171.68,2
s000803,0.0,0
s000804,0.0,0
s000805,0.0,0
s000806,0.0,0
s000807,66.17,1
s000808,0.0,0
s000809,72.44,1
s000810,323.69,4
s000811,38.84,1
s000812,48.47,1
s000813,0.0,0
s000814,128.6,2
s000815,0.0,0
s000816,91.48,2
s000817,198.68,3
s000818,244.3,3
s000819,75.67,1
s000820,222.33,3
s000821,62.52,1
s000822,0.0,0
s000823,0.0,0
s000824,249.67,4
s000825,0.0,0
s000826,88.99,1
s000827,0.0,0
s000828,90.12,1
s000829,292.32,4
s000830,272.84,3
s000831,52.83,1
s000832,175.23,1
s000833,109.22,1
s000834,196.65,3
s000835,206.91,2
s000836,254.69,3
s000837,226.02,3
s000838,48.96,1
s000839,410.25,3
s000840,0.0,0
s000841,172.22,2
s000842,110.92,2
s000843,267.94,3
s000844,306.86,3
s000845,0.0,0
s000846,0.0,0
s000847,38.84,1
s000848,304.64,4
s000849,219.99,2
s000850,67.28,1
s000851,447.3,4
s000852,172.55,2
s000853,110.06,2
s000854,653.69,7
s000855,210.98,2
s000856,692.62,4
s000857,338.98,3
s000858,0.0,0
s000859,68.72,1
s000860,206.21,3
s000861,151.34,2
s000862,400.86,6
s000863,44.96,1
s000864,131.98,2
s000865,0.0,0
s000866,55.94,1
s000867,0.0,0
s000868,267.7,3
s000869,285.21,4
s000870,44.76,1
s000871,0.0,0
s000872,92.16,1
s000873,62.64,1
s000874,215.05,3
s000875,53.81,1
s000876,0.0,0
s000877,122.76,2
s000878,56.14,1
s000879,110.57,2
s000880,275.28,3
s000881,91.38,2
s000882,0.0,0
s000883,75.96,1
s000884,88.96,1
s000885,119.44,2
s000886,137.58,2
s000887,226.35,2
s000888,377.18,5
s000889,249.7,2
s000890,400.22,5
s000891,382.82,3
s000892,48.01,1
s000893,46.18,1
s000894,39.58,1
s000895,186.42,2
s000896,161.01,2
s000897,99.74,1
s000898,0.0,0
s000899,101.18,1
s000900,0.0,0
s000901,251.58,3
s000902,144.63,2
s000903,120.38,3
s000904,69.82,1
s000905,144.06,2
s000906,0.0,0
s000907,202.98,3
s000908,115.21,2
s000909,75.86,1
s000910,82.88,1
s000911,205.29,2
s000912,192.02,2
s000913,343.82,5
s000914,246.59,3
s000915,150.0,2
s000916,69.88,1
s000917,193.24,2
s000918,294.41,3
s000919,365.67,4
s000920,302.05,3
s000921,235.01,2
s000922,98.64,1
s000923,73.4,1
s000924,515.78,5
s000925,87.14,1
s000926,235.42,3
s000927,187.32,2
s000928,135.19,2
s000929,275.52,3
s000930,0.0,0
s000931,65.28,1
s000932,155.27,2
s000933,233.58,2
s000934,69.27,1
s000935,343.81,5
s000936,89.65,1
s000937,318.76,4
s000938,243.88,2
s000939,204.93,2
s000940,114.46,2
s000941,144.68,2
s000942,89.65,1
s000943,118.62,2
s000944,265.29,3
s000945,289.91,3
s000946,344.92,4
s000947,70.16,1
s000948,0.0,0
s000949,44.16,1
s000950,106.09,1
s000951,44.85,1
s000952,72.31,1
s000953,0.0,0
s000954,0.0,0
s000955,0.0,0
s000956,67.39,1
s000957,319.83,3
s000958,101.09,1
s000959,89.2,1
s000960,85.61,1
s000961,96.89,2
s000962,204.54,2
s000963,307.3,3
s000964,0.0,0
s000965,256.32,3
s000966,61.7,1
s000967,461.99,4
s000968,280.91,2
s000969,358.2,3
s000970,54.73,1
s000971,345.79,3
s000972,89.59,1
s000973,82.28,1
s000974,142.01,2
s000975,122.16,2
s000976,0.0,0
s000977,117.63,2
s000978,170.4,2
s000979,305.42,2
s000980,0.0,0
s000981,187.89,2
s000982,0.0,0
s000983,139.61,2
s000984,159.14,2
s000985,290.82,2
s000986,302.34,3
s000987,61.81,1
s000988,513.61,5
s000989,148.54,3
s000990,270.77,3
s000991,89.83,1
s000992,150.48,2
s000993,0.0,0
s000994,179.8,2
s000995,182.32,3
s000996,83.68,2
s000997,91.58,1
s000998,225.25,2
s000999,49.12,1
s001000,38.4,1
s001001,129.51,2
s001002,0.0,0
s001003,278.83,3
s001004,50.78,1
s001005,130.57,1
s001006,267.93,2
s001007,0.0,0
s001008,106.42,1
s001009,137.38,2
s001010,360.31,4
s001011,80.53,1
s001012,346.27,5
s001013,263.96,5
s001014,67.4,1
s001015,58.62,1
s001016,310.9,4
s001017,540.49,5
s001018,0.0,0
s001019,171.32,2
s001020,213.06,2
s001021,108.3,2
s001022,0.0,0
s001023,60.89,1
s001024,157.48,2
s001025,274.61,3
s001026,251.48,3
s001027,152.34,2
s001028,167.68,2
s001029,0.0,0
s001030,528.36,4
s001031,0.0,0
s001032,114.66,2
s001033,131.25,1
s001034,304.78,3
s001035,166.21,2
s001036,131.19,2
s001037,71.48,1
s001038,0.0,0
s001039,251.08,3
s001040,0.0,0
s001041,93.09,1
s001042,192.3,2
s001043,0.0,0
s001044,176.75,2
s001045,145.4,2
s001046,0.0,0
s001047,210.26,3
s001048,121.24,2
s001049,162.46,2
s001050,99.5,1
s001051,318.0,3
s001052,225.51,3
s001053,361.72,3
s001054,134.23,2
s001055,93.17,1
s001056,102.94,1
s001057,275.89,3
s001058,329.93,4
s001059,322.45,4
s001060,0.0,0
s001061,559.37,5
s001062,119.19,2
s001063,45.4,1
s001064,199.66,3
s001065,67.61,1
s001066,61.59,1
s001067,187.01,2
s001068,133.12,2
s001069,386.79,4
s001070,541.62,5
s001071,0.0,0
s001072,61.36,1
s001073,120.28,2
s001074,378.97,5
s001075,154.3,2
s001076,54.23,1
s001077,155.9,2
s001078,119.13,2
s001079,95.84,1
s001080,0.0,0
s001081,0.0,0
s001082,303.65,4
s001083,168.1,2
s001084,0.0,0
s001085,59.63,1
s001086,38.81,1
s001087,87.32,1
s001088,109.43,2
s001089,47.83,1
s001090,119.45,2
s001091,309.4,4
s001092,0.0,0
s001093,111.85,1
s001094,0.0,0
s001095,151.46,2
s001096,95.16,2
s001097,296.86,3
s001098,206.58,3
s001099,120.87,1
s001100,59.4,1
s001101,148.87,2
s001102,301.53,3
s001103,88.07,2
s001104,154.73,2
s001105,0.0,0
s001106,0.0,0
s001107,173.82,2
s001108,230.74,3
s001109,0.0,0
s001110,507.77,6
s001111,148.74,2
s001112,125.78,2
s001113,0.0,0
s001114,172.03,1
s001115,0.0,0
s001116,254.12,3
s001117,179.91,2
s001118,444.18,5
s001119,70.87,1
s001120,36.23,1
s001121,185.81,2
s001122,46.62,1
s001123,139.19,2
s001124,300.55,4
s001125,104.24,1
s001126,105.68,2
s001127,152.73,1
s001128,0.0,0
s001129,285.89,4
s001130,87.71,2
s001131,248.0,2
s001132,316.25,4
s001133,58.71,1
s001134,150.0,2
s001135,221.85,2
s001136,44.77,1
s001137,172.05,2
s001138,0.0,0
s001139,355.24,4
s001140,65.8,1
s001141,96.89,1
s001142,142.75,2
s001143,198.34,2
s001144,167.92,2
s001145,54.49,1
s001146,0.0,0
s001147,148.82,2
s001148,204.49,3
s001149,184.5,2
s001150,103.76,1
s001151,69.35,1
s001152,126.07,2
s001153,172.0,2
s001154,68.52,1
s001155,0.0,0
s001156,0.0,0
s001157,200.44,3
s001158,0.0,0
s001159,219.24,2
s001160,95.48,1
s001161,0.0,0
s001162,205.62,3
s001163,59.37,1
s001164,0.0,0
s001165,154.59,2
s001166,0.0,0
s001167,187.3,3
s001168,174.05,2
s001169,159.3,3
s001170,483.32,5
s001171,313.49,3
s001172,386.5,4
s001173,99.2,1
s001174,75.43,1
s001175,94.87,1
s001176,88.91,1
s001177,282.24,3
s001178,310.37,3
s001179,154.27,2
s001180,154.94,1
s001181,164.19,1
s001182,0.0,0
s001183,217.7,2
s001184,84.59,1
s001185,315.18,3
s001186,89.4,1
s001187,0.0,0
s001188,84.5,1
s001189,44.3,1
s001190,143.95,2
s001191,221.59,2
s001192,150.67,2
s001193,154.57,2
s001194,65.81,1
s001195,217.82,3
s001196,0.0,0
s001197,0.0,0
s001198,140.4,2
s001199,0.0,0
s001200,0.0,0
s001201,164.94,2
s001202,191.19,3
s001203,142.94,2
s001204,0.0,0
s001205,0.0,0
s001206,276.79,4
s001207,204.78,2
s001208,187.58,3
s001209,238.32,3
s001210,94.94,2
s001211,187.54,3
s001212,88.99,1
s001213,551.64,4
s001214,0.0,0
s001215,66.11,1
s001216,190.96,2
s001217,0.0,0
s001218,77.76,1
s001219,60.96,1
s001220,234.53,3
s001221,126.82,2
s001222,279.96,3
s001223,0.0,0
s001224,0.0,0
s001225,79.97,1
s001226,263.01,3
s001227,99.11,2
s001228,269.83,4
s001229,343.33,4
s001230,0.0,0
s001231,301.58,3
s001232,123.52,2
s001233,100.34,1
s001234,218.42,2
s001235,274.38,3
s001236,161.93,2
s001237,261.96,3
s001238,228.9,2
s001239,97.4,1
s001240,45.42,1
s001241,84.88,1
s001242,255.8,2
s001243,60.28,1
s001244,39.32,1
s001245,232.24,3
s001246,104.16,1
s001247,0.0,0
s001248,201.81,2
s001249,0.0,0
s001250,200.34,2
s001251,0.0,0
s001252,79.85,1
s001253,72.01,1
s001254,211.55,3
s001255,109.68,1
s001256,240.67,3
s001257,59.62,1
s001258,0.0,0
s001259,56.26,1
s001260,105.18,1
s001261,107.14,2
s001262,142.07,1
s001263,53.61,1
s001264,306.79,3
s001265,100.76,1
s001266,131.75,2
s001267,43.33,1
s001268,262.96,3
s001269,97.35,1
s001270,151.36,2
s001271,68.62,1
s001272,379.84,4
s001273,54.18,1
s001274,157.54,2
s001275,0.0,0
s001276,141.9,2
s001277,368.17,3
s001278,180.7,2
s001279,161.49,2
s001280,116.41,1
s001281,0.0,0
s001282,417.81,5
s001283,246.76,4
s001284,308.81,4
s001285,992.73,8
s001286,0.0,0
s001287,219.6,2
s001288,184.6,2
s001289,138.63,1
s001290,0.0,0
s001291,0.0,0
s001292,88.18,1
s001293,581.34,6
s001294,598.23,6
s001295,21.77,1
s001296,138.61,2
s001297,131.56,1
s001298,40.06,1
s001299,0.0,0
s001300,214.58,2
s001301,78.89,1
s001302,117.65,1
s001303,311.99,3
s001304,166.34,3
s001305,35.68,1
s001306,149.91,2
s001307,266.46,3
s001308,100.14,2
s001309,110.47,1
s001310,119.21,1
s001311,106.33,1
s001312,320.58,3
s001313,140.11,2
s001314,317.02,4
s001315,692.44,6
s001316,88.4,1
s001317,240.55,2
s001318,180.44,3
s001319,386.42,3
s001320,273.53,3
s001321,0.0,0
s001322,64.95,1
s001323,57.4,1
s001324,149.67,1
s001325,240.57,3
s001326,110.72,2
s001327,182.51,3
s001328,0.0,0
s001329,173.32,3
s001330,0.0,0
s001331,240.42,3
s001332,99.56,1
s001333,382.34,3
s001334,87.98,1
s001335,134.05,1
s001336,222.17,2
s001337,92.54,1
s001338,80.52,1
s001339,432.2,4
s001340,0.0,0
s001341,260.86,2
s001342,186.69,3
s001343,244.25,3
s001344,140.14,2
s001345,130.02,2
s001346,496.81,4
s001347,50.5,1
s001348,62.39,1
s001349,61.83,1
s001350,160.08,2
s001351,83.32,1
s001352,92.64,2
s001353,109.53,2
s001354,127.54,2
s001355,94.19,1
s001356,73.74,1
s001357,198.72,3
s001358,236.36,3
s001359,0.0,0
s001360,213.19,2
s001361,331.13,3
s001362,265.58,3
s001363,147.25,1
s001364,296.73,5
s001365,120.3,1
s001366,157.65,2
s001367,174.13,1
s001368,54.66,1
s001369,102.4,1
s001370,97.62,1
s001371,95.11,2
s001372,494.06,4
s001373,115.58,1
s001374,184.09,3
s001375,40.42,1
s001376,161.33,2
s001377,276.96,4
s001378,100.89,2
s001379,64.38,1
s001380,48.26,1
s001381,229.7,3
s001382,79.59,1
s001383,76.64,1
s001384,80.65,1
s001385,344.12,4
s001386,0.0,0
s001387,121.76,2
s001388,131.07,2
s001389,62.84,1
s001390,303.96,4
s001391,0.0,0
s001392,180.06,1
s001393,364.49,5
s001394,83.6,1
s001395,124.99,2
s001396,110.71,2
